[*] Load dataset...
[*] Fix malformed data...
[*] Split...
[*] Encoding...
[*] -> tweet_ids...
[*] Encoding complete!
==============================
Using GPU for training
Dataset: FakeNewsNet-politifact
TMU params: num-clauses=5000, T=100, s=10.0
Epochs: 100
Feature(s): tweet
max-vocab=3000, max-domain=500, max-tweet=500
====================
Train size: 844
Train classes: 2
Test size: 212
Test classes: 2
Total features: 500
==============================
[*] Training for 100 epochs...
Epoch   1: Train%/Test% | Accuracy: 58.06%/63.21%/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
Epoch  72: Train%/Test% | Accuracy: 44.43%/38.68% | Precision: 71.51%/68.75% | Recall: 52.14%/51.49% | F1: 34.19%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  73: Train%/Test% | Accuracy: 44.55%/38.68% | Precision: 71.53%/68.75% | Recall: 52.24%/51.49% | F1: 34.40%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  74: Train%/Test% | Accuracy: 44.55%/38.68% | Precision: 71.53%/68.75% | Recall: 52.24%/51.49% | F1: 34.40%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  75: Train%/Test% | Accuracy: 44.43%/38.68% | Precision: 71.51%/68.75% | Recall: 52.14%/51.49% | F1: 34.19%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  76: Train%/Test% | Accuracy: 44.43%/38.68% | Precision: 71.51%/68.75% | Recall: 52.14%/51.49% | F1: 34.19%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  77: Train%/Test% | Accuracy: 44.43%/38.68% | Precision: 71.51%/68.75% | Recall: 52.14%/51.49% | F1: 34.19%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  78: Train%/Test% | Accuracy: 44.31%/38.68% | Precision: 71.48%/68.75% | Recall: 52.04%/51.49% | F1: 33.97%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  79: Train%/Test% | Accuracy: 44.43%/38.68% | Precision: 71.51%/68.75% | Recall: 52.14%/51.49% | F1: 34.19%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  80: Train%/Test% | Accuracy: 44.43%/38.68% | Precision: 71.51%/68.75% | Recall: 52.14%/51.49% | F1: 34.19%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  81: Train%/Test% | Accuracy: 44.31%/38.68% | Precision: 71.48%/68.75% | Recall: 52.04%/51.49% | F1: 33.97%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  82: Train%/Test% | Accuracy: 44.31%/38.68% | Precision: 71.48%/68.75% | Recall: 52.04%/51.49% | F1: 33.97%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  83: Train%/Test% | Accuracy: 44.55%/38.68% | Precision: 71.53%/68.75% | Recall: 52.24%/51.49% | F1: 34.40%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  84: Train%/Test% | Accuracy: 44.55%/38.68% | Precision: 71.53%/68.75% | Recall: 52.24%/51.49% | F1: 34.40%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  85: Train%/Test% | Accuracy: 44.31%/38.68% | Precision: 71.48%/68.75% | Recall: 52.04%/51.49% | F1: 33.97%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  86: Train%/Test% | Accuracy: 44.43%/38.68% | Precision: 71.51%/68.75% | Recall: 52.14%/51.49% | F1: 34.19%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  87: Train%/Test% | Accuracy: 44.31%/38.68% | Precision: 71.48%/68.75% | Recall: 52.04%/51.49% | F1: 33.97%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  88: Train%/Test% | Accuracy: 44.55%/38.68% | Precision: 71.53%/68.75% | Recall: 52.24%/51.49% | F1: 34.40%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  89: Train%/Test% | Accuracy: 44.55%/38.68% | Precision: 71.53%/68.75% | Recall: 52.24%/51.49% | F1: 34.40%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  90: Train%/Test% | Accuracy: 44.67%/38.68% | Precision: 71.56%/68.75% | Recall: 52.35%/51.49% | F1: 34.61%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  91: Train%/Test% | Accuracy: 44.55%/38.68% | Precision: 69.44%/68.75% | Recall: 52.21%/51.49% | F1: 34.54%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  92: Train%/Test% | Accuracy: 44.67%/38.68% | Precision: 69.55%/68.75% | Recall: 52.31%/51.49% | F1: 34.75%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  93: Train%/Test% | Accuracy: 44.43%/38.68% | Precision: 69.32%/68.75% | Recall: 52.10%/51.49% | F1: 34.33%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  94: Train%/Test% | Accuracy: 44.55%/38.68% | Precision: 69.44%/68.75% | Recall: 52.21%/51.49% | F1: 34.54%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  95: Train%/Test% | Accuracy: 44.67%/38.68% | Precision: 69.55%/68.75% | Recall: 52.31%/51.49% | F1: 34.75%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  96: Train%/Test% | Accuracy: 44.67%/38.68% | Precision: 69.55%/68.75% | Recall: 52.31%/51.49% | F1: 34.75%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  97: Train%/Test% | Accuracy: 44.55%/38.68% | Precision: 69.44%/68.75% | Recall: 52.21%/51.49% | F1: 34.54%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  98: Train%/Test% | Accuracy: 44.67%/38.68% | Precision: 69.55%/68.75% | Recall: 52.31%/51.49% | F1: 34.75%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  99: Train%/Test% | Accuracy: 44.67%/38.68% | Precision: 69.55%/68.75% | Recall: 52.31%/51.49% | F1: 34.75%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch 100: Train%/Test% | Accuracy: 44.91%/38.68% | Precision: 71.61%/68.75% | Recall: 52.55%/51.49% | F1: 35.03%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
