[nltk_data] Downloading package wordnet to /home/bjorvl16/nltk_data...
[nltk_data]   Package wordnet is already up-to-date!
[nltk_data] Downloading package stopwords to
[nltk_data]     /home/bjorvl16/nltk_data...
[nltk_data]   Package stopwords is already up-to-date!
[*] Load dataset...
[*] Fix malformed data...
[*] Split...
[*] Encoding...
[*] Encoding feature: text... 4922
==============================
Using CPU for training
Dataset: fake-news-datasets-deception-Celebrity
TMU params: num-clauses=5000, T=200, s=15.0
Epochs: 150
Feature(s): text
max-vocab=15000, max-domain=500, max-tweet=500
====================
Train size: 400
Train classes: 2
Test size: 100
Test classes: 2
Total features: 4922
==============================
[*] Training for 150 epochs...
Epoch 103: Train%/Test% | Accuracy: 99.75%/75.00% | Precision: 99.75%/75.09% | Recall: 99.75%/74.44% | F1: 99.75%/74.57% | Time: fit=002s, train=000s, test=000s, total=003s
Epoch 104: Train%/Test% | Accuracy: 99.75%/72.00% | Precision: 99.76%/71.83% | Recall: 99.74%/71.66% | F1: 99.75%/71.72% | Time: fit=002s, train=000s, test=000s, total=003s
Epoch 105: Train%/Test% | Accuracy: 99.75%/73.00% | Precision: 99.75%/72.89% | Recall: 99.75%/72.58% | F1: 99.75%/72.67% | Time: fit=002s, train=000s, test=000s, total=002s
Epoch 106: Train%/Test% | Accuracy: 99.50%/74.00% | Precision: 99.49%/74.45% | Recall: 99.51%/73.19% | F1: 99.50%/73.32% | Time: fit=002s, train=000s, test=000s, total=002s
Epoch 107: Train%/Test% | Accuracy: 99.50%/75.00% | Precision: 99.49%/75.35% | Recall: 99.51%/74.28% | F1: 99.50%/74.42% | Time: fit=002s, train=000s, test=000s, total=002s
Epoch 108: Train%/Test% | Accuracy: 99.75%/74.00% | Precision: 99.75%/74.17% | Recall: 99.75%/73.35% | F1: 99.75%/73.48% | Time: fit=002s, train=000s, test=000s, total=002s
Epoch 109: Train%/Test% | Accuracy: 99.50%/74.00% | Precision: 99.49%/74.45% | Recall: 99.51%/73.19% | F1: 99.50%/73.32% | Time: fit=002s, train=000s, test=000s, total=002s
Epoch 110: Train%/Test% | Accuracy: 99.50%/74.00% | Precision: 99.49%/74.45% | Recall: 99.51%/73.19% | F1: 99.50%/73.32% | Time: fit=002s, train=000s, test=000s, total=002s
Epoch 111: Train%/Test% | Accuracy: 99.50%/74.00% | Precision: 99.49%/74.45% | Recall: 99.51%/73.19% | F1: 99.50%/73.32% | Time: fit=002s, train=000s, test=000s, total=002s
Epoch 112: Train%/Test% | Accuracy: 99.50%/75.00% | Precision: 99.49%/75.70% | Recall: 99.51%/74.11% | F1: 99.50%/74.26% | Time: fit=002s, train=000s, test=000s, total=002s
Epoch 113: Train%/Test% | Accuracy: 99.75%/71.00% | Precision: 99.75%/70.85% | Recall: 99.75%/70.57% | F1: 99.75%/70.64% | Time: fit=002s, train=000s, test=000s, total=002s
Epoch 114: Train%/Test% | Accuracy: 99.75%/73.00% | Precision: 99.75%/73.03% | Recall: 99.75%/72.42% | F1: 99.75%/72.54% | Time: fit=002s, train=000s, test=000s, total=002s
