[*] Load dataset...
[*] Fix malformed data...
[*] Split...
[*] Encoding...
[*] -> text...
[*] Encoding complete!
==============================
Using GPU for training
Dataset: FakeNewsNet-politifact
TMU params: num-clauses=5000, T=200, s=15.0
Epochs: 150
Feature(s): text
max-vocab=15000, max-domain=500, max-tweet=500
====================
Train size: 844
Train classes: 2
Test size: 212
Test classes: 2
Total features: 2934
==============================
[*] Training for 150 epochs...
Epoch   1: Train%/Test% | Accuracy: 41.94%/36.79%/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
Epoch  56: Train%/Test% | Accuracy: 84.95%/74.53% | Precision: 84.71%/73.19% | Recall: 85.59%/74.49% | F1: 84.81%/73.49% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  57: Train%/Test% | Accuracy: 84.60%/75.47% | Precision: 84.40%/74.29% | Recall: 85.28%/75.77% | F1: 84.46%/74.57% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  58: Train%/Test% | Accuracy: 85.31%/76.42% | Precision: 85.00%/75.24% | Recall: 85.86%/76.79% | F1: 85.15%/75.54% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  59: Train%/Test% | Accuracy: 84.95%/75.47% | Precision: 84.62%/74.15% | Recall: 85.43%/75.51% | F1: 84.78%/74.47% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  60: Train%/Test% | Accuracy: 84.83%/75.94% | Precision: 84.55%/74.57% | Recall: 85.41%/75.88% | F1: 84.68%/74.91% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  61: Train%/Test% | Accuracy: 77.61%/66.04% | Precision: 79.55%/67.76% | Recall: 79.62%/68.85% | F1: 77.61%/65.84% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  62: Train%/Test% | Accuracy: 84.83%/76.42% | Precision: 84.58%/75.24% | Recall: 85.45%/76.79% | F1: 84.68%/75.54% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  63: Train%/Test% | Accuracy: 84.48%/78.30% | Precision: 84.12%/76.70% | Recall: 83.93%/76.41% | F1: 84.02%/76.55% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  64: Train%/Test% | Accuracy: 83.41%/77.36% | Precision: 83.12%/75.71% | Recall: 82.66%/75.12% | F1: 82.86%/75.39% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  65: Train%/Test% | Accuracy: 83.77%/76.42% | Precision: 83.43%/74.68% | Recall: 83.12%/74.11% | F1: 83.26%/74.36% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  66: Train%/Test% | Accuracy: 84.00%/77.36% | Precision: 83.70%/75.77% | Recall: 83.32%/74.86% | F1: 83.49%/75.24% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  67: Train%/Test% | Accuracy: 83.41%/76.89% | Precision: 82.95%/75.17% | Recall: 83.05%/75.55% | F1: 83.00%/75.35% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  68: Train%/Test% | Accuracy: 84.83%/77.36% | Precision: 84.39%/75.78% | Recall: 85.02%/76.73% | F1: 84.59%/76.14% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  69: Train%/Test% | Accuracy: 85.43%/76.42% | Precision: 84.97%/74.66% | Recall: 85.53%/74.91% | F1: 85.17%/74.78% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  70: Train%/Test% | Accuracy: 84.60%/76.42% | Precision: 84.17%/74.81% | Recall: 84.85%/75.72% | F1: 84.37%/75.14% | Time: fit=016s, train=003s, test=001s, total=020s
