[nltk_data] Downloading package wordnet to /home/bjorvl16/nltk_data...
[nltk_data]   Package wordnet is already up-to-date!
[nltk_data] Downloading package stopwords to
[nltk_data]     /home/bjorvl16/nltk_data...
[nltk_data]   Package stopwords is already up-to-date!
[*] Load dataset...
[*] Fix malformed data...
[*] Split...
[*] Encoding...
[*] Encoding feature: text... 4922
==============================
Using GPU for training
Dataset: fake-news-datasets-deception-Celebrity
TMU params: num-clauses=5000, T=200, s=15.0
Epochs: 150
Feature(s): text
max-vocab=15000, max-domain=500, max-tweet=500
====================
Train size: 400
Train classes: 2
Test size: 100
Test classes: 2
Total features: 4922
==============================
[*] Training for 150 epochs...
Epoch 112: Train%/Test% | Accuracy: 100.00%/69.00% | Precision: 100.00%/68.93% | Recall: 100.00%/69.04% | F1: 100.00%/68.92% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch 113: Train%/Test% | Accuracy: 100.00%/69.00% | Precision: 100.00%/68.79% | Recall: 100.00%/68.72% | F1: 100.00%/68.75% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch 114: Train%/Test% | Accuracy: 100.00%/69.00% | Precision: 100.00%/68.79% | Recall: 100.00%/68.72% | F1: 100.00%/68.75% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch 115: Train%/Test% | Accuracy: 100.00%/71.00% | Precision: 100.00%/70.84% | Recall: 100.00%/70.89% | F1: 100.00%/70.86% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch 116: Train%/Test% | Accuracy: 100.00%/70.00% | Precision: 100.00%/69.81% | Recall: 100.00%/69.81% | F1: 100.00%/69.81% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch 117: Train%/Test% | Accuracy: 100.00%/67.00% | Precision: 100.00%/67.30% | Recall: 100.00%/67.35% | F1: 100.00%/67.00% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch 118: Train%/Test% | Accuracy: 100.00%/70.00% | Precision: 100.00%/69.81% | Recall: 100.00%/69.65% | F1: 100.00%/69.70% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch 119: Train%/Test% | Accuracy: 100.00%/74.00% | Precision: 100.00%/74.45% | Recall: 100.00%/73.19% | F1: 100.00%/73.32% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch 120: Train%/Test% | Accuracy: 100.00%/71.00% | Precision: 100.00%/70.96% | Recall: 100.00%/70.41% | F1: 100.00%/70.50% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch 121: Train%/Test% | Accuracy: 100.00%/70.00% | Precision: 100.00%/69.87% | Recall: 100.00%/69.97% | F1: 100.00%/69.89% | Time: fit=000s, train=000s, test=000s, total=001s
