[*] Load dataset...
[*] Fix malformed data...
[*] Split...
[*] Encoding...
[*] -> text...
[*] Encoding complete!
==============================
Using GPU for training
Dataset: FakeNewsNet-politifact
TMU params: num-clauses=5000, T=250, s=15.0
Epochs: 150
Feature(s): text
max-vocab=15000, max-domain=500, max-tweet=500
====================
Train size: 844
Train classes: 2
Test size: 212
Test classes: 2
Total features: 2934
==============================
[*] Training for 150 epochs...
*** compiler output in /tmp/tmpz0ke4uou
*** compiler output in /tmp/tmp9qibpyra
Epoch   1: Train%/Test% | Accuracy: 41.94%/36.79%/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
 | Precision: 20.97%/18.40% | Recall: 50.00%/50.00% | F1: 29.55%/26.90% | Time: fit=023s, train=003s, test=001s, total=027s
Epoch   2: Train%/Test% | Accuracy: 58.06%/63.21%/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
Epoch  79: Train%/Test% | Accuracy: 81.52%/73.11% | Precision: 82.13%/72.76% | Recall: 82.87%/74.45% | F1: 81.47%/72.53% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  80: Train%/Test% | Accuracy: 83.06%/77.83% | Precision: 82.59%/76.21% | Recall: 82.66%/75.77% | F1: 82.63%/75.97% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  81: Train%/Test% | Accuracy: 83.41%/76.42% | Precision: 82.92%/74.65% | Recall: 83.21%/74.65% | F1: 83.05%/74.65% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  82: Train%/Test% | Accuracy: 83.06%/75.94% | Precision: 82.56%/74.22% | Recall: 83.02%/74.81% | F1: 82.74%/74.47% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  83: Train%/Test% | Accuracy: 82.70%/75.47% | Precision: 82.50%/74.15% | Recall: 83.34%/75.51% | F1: 82.54%/74.47% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  84: Train%/Test% | Accuracy: 83.77%/76.89% | Precision: 83.45%/75.33% | Recall: 84.26%/76.36% | F1: 83.59%/75.69% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  85: Train%/Test% | Accuracy: 83.18%/75.94% | Precision: 82.77%/74.36% | Recall: 83.47%/75.34% | F1: 82.95%/74.70% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  86: Train%/Test% | Accuracy: 82.46%/75.94% | Precision: 82.09%/74.36% | Recall: 82.82%/75.34% | F1: 82.24%/74.70% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  87: Train%/Test% | Accuracy: 83.41%/76.89% | Precision: 83.01%/75.26% | Recall: 83.71%/76.09% | F1: 83.19%/75.58% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  88: Train%/Test% | Accuracy: 82.82%/73.11% | Precision: 82.92%/72.34% | Recall: 83.79%/73.91% | F1: 82.72%/72.36% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  89: Train%/Test% | Accuracy: 76.54%/65.09% | Precision: 79.11%/67.49% | Recall: 78.82%/68.37% | F1: 76.54%/64.98% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  90: Train%/Test% | Accuracy: 82.94%/80.19% | Precision: 82.45%/78.67% | Recall: 82.64%/79.24% | F1: 82.54%/78.92% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  91: Train%/Test% | Accuracy: 82.82%/78.30% | Precision: 82.32%/76.68% | Recall: 82.73%/77.21% | F1: 82.48%/76.91% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  92: Train%/Test% | Accuracy: 83.41%/77.83% | Precision: 83.02%/76.31% | Recall: 83.75%/77.37% | F1: 83.19%/76.68% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  93: Train%/Test% | Accuracy: 83.29%/78.30% | Precision: 82.97%/76.83% | Recall: 83.77%/78.01% | F1: 83.11%/77.23% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  94: Train%/Test% | Accuracy: 82.82%/77.83% | Precision: 82.48%/76.39% | Recall: 83.24%/77.64% | F1: 82.62%/76.78% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  95: Train%/Test% | Accuracy: 77.13%/65.57% | Precision: 79.68%/68.15% | Recall: 79.40%/69.01% | F1: 77.13%/65.47% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  96: Train%/Test% | Accuracy: 77.96%/65.57% | Precision: 79.95%/68.15% | Recall: 80.00%/69.01% | F1: 77.96%/65.47% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  97: Train%/Test% | Accuracy: 78.20%/64.62% | Precision: 80.46%/67.55% | Recall: 80.36%/68.26% | F1: 78.20%/64.56% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  98: Train%/Test% | Accuracy: 85.07%/78.77% | Precision: 84.63%/77.24% | Recall: 84.83%/76.78% | F1: 84.72%/76.99% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  99: Train%/Test% | Accuracy: 80.21%/71.70% | Precision: 80.91%/71.70% | Recall: 81.59%/73.33% | F1: 80.17%/71.20% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch 100: Train%/Test% | Accuracy: 84.72%/77.83% | Precision: 84.45%/76.39% | Recall: 85.31%/77.64% | F1: 84.56%/76.78% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch 101: Train%/Test% | Accuracy: 83.06%/78.30% | Precision: 82.63%/76.71% | Recall: 83.29%/77.48% | F1: 82.81%/77.02% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch 102: Train%/Test% | Accuracy: 85.31%/77.83% | Precision: 85.20%/76.61% | Recall: 86.13%/78.18% | F1: 85.19%/76.97% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch 103: Train%/Test% | Accuracy: 84.36%/77.36% | Precision: 83.92%/75.68% | Recall: 84.02%/75.39% | F1: 83.97%/75.53% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch 104: Train%/Test% | Accuracy: 83.77%/76.89% | Precision: 83.34%/75.18% | Recall: 83.32%/74.75% | F1: 83.33%/74.95% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch 105: Train%/Test% | Accuracy: 83.06%/77.36% | Precision: 82.76%/75.86% | Recall: 82.27%/74.59% | F1: 82.48%/75.09% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch 106: Train%/Test% | Accuracy: 83.53%/77.36% | Precision: 83.31%/75.86% | Recall: 82.68%/74.59% | F1: 82.94%/75.09% | Time: fit=017s, train=003s, test=001s, total=020s
