Epoch  68: Train%/Test% | Accuracy: 82.82%/76.42% | Precision: 82.60%/75.75% | Recall: 81.91%/77.59% | F1: 82.19%/75.79% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  69: Train%/Test% | Accuracy: 82.46%/75.94% | Precision: 82.16%/75.38% | Recall: 81.64%/77.22% | F1: 81.86%/75.35% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  70: Train%/Test% | Accuracy: 83.29%/76.89% | Precision: 83.04%/76.13% | Recall: 82.48%/77.97% | F1: 82.71%/76.24% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  71: Train%/Test% | Accuracy: 82.94%/76.42% | Precision: 82.88%/75.56% | Recall: 81.86%/77.32% | F1: 82.23%/75.71% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  72: Train%/Test% | Accuracy: 83.41%/75.94% | Precision: 83.07%/75.38% | Recall: 82.73%/77.22% | F1: 82.89%/75.35% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  73: Train%/Test% | Accuracy: 83.41%/76.42% | Precision: 83.15%/75.75% | Recall: 82.62%/77.59% | F1: 82.84%/75.79% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  74: Train%/Test% | Accuracy: 83.18%/76.42% | Precision: 82.83%/75.75% | Recall: 82.49%/77.59% | F1: 82.64%/75.79% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  75: Train%/Test% | Accuracy: 82.35%/76.42% | Precision: 81.98%/75.75% | Recall: 81.62%/77.59% | F1: 81.78%/75.79% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  76: Train%/Test% | Accuracy: 82.82%/76.42% | Precision: 82.54%/75.75% | Recall: 81.99%/77.59% | F1: 82.22%/75.79% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  77: Train%/Test% | Accuracy: 82.11%/75.47% | Precision: 81.85%/74.80% | Recall: 81.18%/76.58% | F1: 81.45%/74.82% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  78: Train%/Test% | Accuracy: 82.94%/75.47% | Precision: 82.65%/74.80% | Recall: 82.13%/76.58% | F1: 82.35%/74.82% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  79: Train%/Test% | Accuracy: 82.70%/75.94% | Precision: 82.49%/75.18% | Recall: 81.77%/76.95% | F1: 82.06%/75.27% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  80: Train%/Test% | Accuracy: 82.70%/76.89% | Precision: 82.46%/76.13% | Recall: 81.81%/77.97% | F1: 82.07%/76.24% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  81: Train%/Test% | Accuracy: 82.46%/76.42% | Precision: 82.24%/75.56% | Recall: 81.53%/77.32% | F1: 81.81%/75.71% | Time: fit=010s, train=002s, test=000s, total=013s
Epoch  82: Train%/Test% | Accuracy: 82.23%/76.42% | Precision: 81.99%/75.56% | Recall: 81.28%/77.32% | F1: 81.56%/75.71% | Time: fit=010s, train=002s, test=000s, total=013s
