[nltk_data] Downloading package wordnet to /home/bjorvl16/nltk_data...
[nltk_data]   Package wordnet is already up-to-date!
[nltk_data] Downloading package stopwords to
[nltk_data]     /home/bjorvl16/nltk_data...
[nltk_data]   Package stopwords is already up-to-date!
[*] Load dataset...
[*] Fix malformed data...
[*] Split...
[*] Encoding...
[*] Encoding feature: text... 2441
==============================
Using GPU for training
Dataset: fake-news-datasets-deception-FakeNewsAMT
TMU params: num-clauses=5000, T=200, s=15.0
Epochs: 150
Feature(s): text
max-vocab=15000, max-domain=500, max-tweet=500
====================
Train size: 384
Train classes: 2
Test size: 96
Test classes: 2
Total features: 2441
==============================
[*] Training for 150 epochs...
Epoch  95: Train%/Test% | Accuracy: 99.74%/45.83% | Precision: 99.74%/45.68% | Recall: 99.74%/45.72% | F1: 99.74%/45.62% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  96: Train%/Test% | Accuracy: 100.00%/50.00% | Precision: 100.00%/49.80% | Recall: 100.00%/49.80% | F1: 100.00%/49.45% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  97: Train%/Test% | Accuracy: 100.00%/48.96% | Precision: 100.00%/48.86% | Recall: 100.00%/48.87% | F1: 100.00%/48.82% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  98: Train%/Test% | Accuracy: 100.00%/45.83% | Precision: 100.00%/45.88% | Recall: 100.00%/45.90% | F1: 100.00%/45.81% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  99: Train%/Test% | Accuracy: 100.00%/44.79% | Precision: 100.00%/44.79% | Recall: 100.00%/44.79% | F1: 100.00%/44.79% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch 100: Train%/Test% | Accuracy: 100.00%/43.75% | Precision: 100.00%/43.77% | Recall: 100.00%/43.90% | F1: 100.00%/43.53% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch 101: Train%/Test% | Accuracy: 100.00%/46.88% | Precision: 100.00%/46.83% | Recall: 100.00%/46.83% | F1: 100.00%/46.82% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch 102: Train%/Test% | Accuracy: 100.00%/46.88% | Precision: 100.00%/46.83% | Recall: 100.00%/46.83% | F1: 100.00%/46.82% | Time: fit=000s, train=000s, test=000s, total=000s
Epoch 103: Train%/Test% | Accuracy: 100.00%/43.75% | Precision: 100.00%/43.79% | Recall: 100.00%/43.81% | F1: 100.00%/43.73% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch 104: Train%/Test% | Accuracy: 100.00%/45.83% | Precision: 100.00%/45.90% | Recall: 100.00%/45.94% | F1: 100.00%/45.74% | Time: fit=000s, train=000s, test=000s, total=001s
