[nltk_data] Downloading package wordnet to /home/bjorvl16/nltk_data...
[nltk_data]   Package wordnet is already up-to-date!
[nltk_data] Downloading package stopwords to
[nltk_data]     /home/bjorvl16/nltk_data...
[nltk_data]   Package stopwords is already up-to-date!
[*] Load dataset...
[*] Fix malformed data...
[*] Split...
[*] Encoding...
[*] Encoding feature: text... 4922
==============================
Using GPU for training
Dataset: fake-news-datasets-deception-Celebrity
TMU params: num-clauses=5000, T=150, s=10.0
Epochs: 150
Feature(s): text
max-vocab=15000, max-domain=500, max-tweet=500
====================
Train size: 400
Train classes: 2
Test size: 100
Test classes: 2
Total features: 4922
==============================
[*] Training for 150 epochs...
Epoch  82: Train%/Test% | Accuracy: 99.25%/71.00% | Precision: 99.25%/71.14% | Recall: 99.26%/70.25% | F1: 99.25%/70.33% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  83: Train%/Test% | Accuracy: 99.25%/70.00% | Precision: 99.25%/70.00% | Recall: 99.26%/69.32% | F1: 99.25%/69.40% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  84: Train%/Test% | Accuracy: 100.00%/72.00% | Precision: 100.00%/71.82% | Recall: 100.00%/71.82% | F1: 100.00%/71.82% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  85: Train%/Test% | Accuracy: 100.00%/70.00% | Precision: 100.00%/69.81% | Recall: 100.00%/69.81% | F1: 100.00%/69.81% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  86: Train%/Test% | Accuracy: 99.75%/70.00% | Precision: 99.75%/70.00% | Recall: 99.75%/69.32% | F1: 99.75%/69.40% | Time: fit=004s, train=001s, test=000s, total=006s
Epoch  87: Train%/Test% | Accuracy: 100.00%/71.00% | Precision: 100.00%/70.84% | Recall: 100.00%/70.89% | F1: 100.00%/70.86% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  88: Train%/Test% | Accuracy: 100.00%/69.00% | Precision: 100.00%/68.83% | Recall: 100.00%/68.88% | F1: 100.00%/68.85% | Time: fit=004s, train=001s, test=000s, total=006s
Epoch  89: Train%/Test% | Accuracy: 100.00%/69.00% | Precision: 100.00%/68.93% | Recall: 100.00%/69.04% | F1: 100.00%/68.92% | Time: fit=004s, train=001s, test=000s, total=006s
Epoch  90: Train%/Test% | Accuracy: 100.00%/68.00% | Precision: 100.00%/67.79% | Recall: 100.00%/67.79% | F1: 100.00%/67.79% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  91: Train%/Test% | Accuracy: 99.75%/70.00% | Precision: 99.75%/69.81% | Recall: 99.75%/69.65% | F1: 99.75%/69.70% | Time: fit=004s, train=001s, test=000s, total=006s
Epoch  92: Train%/Test% | Accuracy: 99.75%/72.00% | Precision: 99.75%/71.92% | Recall: 99.75%/71.50% | F1: 99.75%/71.59% | Time: fit=004s, train=001s, test=000s, total=006s
Epoch  93: Train%/Test% | Accuracy: 99.50%/72.00% | Precision: 99.49%/72.08% | Recall: 99.51%/71.34% | F1: 99.50%/71.44% | Time: fit=004s, train=001s, test=000s, total=006s
Epoch  94: Train%/Test% | Accuracy: 99.75%/72.00% | Precision: 99.75%/72.08% | Recall: 99.75%/71.34% | F1: 99.75%/71.44% | Time: fit=004s, train=001s, test=000s, total=006s
Epoch  95: Train%/Test% | Accuracy: 100.00%/72.00% | Precision: 100.00%/71.82% | Recall: 100.00%/71.82% | F1: 100.00%/71.82% | Time: fit=004s, train=001s, test=000s, total=006s
Epoch  96: Train%/Test% | Accuracy: 99.50%/73.00% | Precision: 99.49%/73.03% | Recall: 99.51%/72.42% | F1: 99.50%/72.54% | Time: fit=004s, train=001s, test=000s, total=006s
Epoch  97: Train%/Test% | Accuracy: 99.75%/71.00% | Precision: 99.75%/70.85% | Recall: 99.75%/70.57% | F1: 99.75%/70.64% | Time: fit=004s, train=001s, test=000s, total=006s
Epoch  98: Train%/Test% | Accuracy: 100.00%/71.00% | Precision: 100.00%/70.96% | Recall: 100.00%/70.41% | F1: 100.00%/70.50% | Time: fit=004s, train=001s, test=000s, total=006s
Epoch  99: Train%/Test% | Accuracy: 99.75%/69.00% | Precision: 99.75%/68.81% | Recall: 99.75%/68.56% | F1: 99.75%/68.62% | Time: fit=004s, train=001s, test=000s, total=006s
Epoch 100: Train%/Test% | Accuracy: 100.00%/72.00% | Precision: 100.00%/71.92% | Recall: 100.00%/71.50% | F1: 100.00%/71.59% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch 101: Train%/Test% | Accuracy: 99.75%/72.00% | Precision: 99.75%/71.83% | Recall: 99.75%/71.66% | F1: 99.75%/71.72% | Time: fit=004s, train=001s, test=000s, total=006s
Epoch 102: Train%/Test% | Accuracy: 100.00%/73.00% | Precision: 100.00%/72.89% | Recall: 100.00%/72.58% | F1: 100.00%/72.67% | Time: fit=004s, train=001s, test=000s, total=006s
Epoch 103: Train%/Test% | Accuracy: 100.00%/71.00% | Precision: 100.00%/70.85% | Recall: 100.00%/70.57% | F1: 100.00%/70.64% | Time: fit=004s, train=001s, test=000s, total=006s
Epoch 104: Train%/Test% | Accuracy: 100.00%/72.00% | Precision: 100.00%/71.92% | Recall: 100.00%/71.50% | F1: 100.00%/71.59% | Time: fit=004s, train=001s, test=000s, total=006s
Epoch 105: Train%/Test% | Accuracy: 99.75%/71.00% | Precision: 99.75%/70.96% | Recall: 99.75%/70.41% | F1: 99.75%/70.50% | Time: fit=004s, train=001s, test=000s, total=006s
Epoch 106: Train%/Test% | Accuracy: 99.75%/71.00% | Precision: 99.75%/70.96% | Recall: 99.75%/70.41% | F1: 99.75%/70.50% | Time: fit=004s, train=001s, test=000s, total=006s
